division,month,strain
Antwerpen,01,['Belgium/AZDelta2103-21478/2021']
Antwerpen,03,"['Belgium/BJ-0325181/2020', 'Belgium/CL-0330332/2020', 'Belgium/HAA-030953/2020', 'Belgium/ITM-C5182/2020', 'Belgium/VRJM-0323114/2020']"
Antwerpen,04,['Belgium/DPR-0406398/2020']
Antwerpen,05,['Belgium/HI-0507421/2020']
Antwerpen,06,"['Belgium/rega-0620850/2020', 'Belgium/rega-0620851/2020']"
Antwerpen,07,['Belgium/ULG-10275/2020']
Antwerpen,08,"['Belgium/rega-0801752/2020', 'Belgium/rega-0801754/2020', 'Belgium/rega-0801769/2020', 'Belgium/rega-0801783/2020', 'Belgium/rega-0801794/2020', 'Belgium/rega-0801801/2020', 'Belgium/rega-0803734/2020', 'Belgium/rega-0803739/2020', 'Belgium/rega-0803760/2020', 'Belgium/rega-0804729/2020', 'Belgium/rega-0804731/2020', 'Belgium/rega-0804748/2020']"
Antwerpen,09,"['Belgium/ITM-C5183/2020', 'Belgium/ITM-C5184/2020', 'Belgium/ITM-C5185/2020', 'Belgium/ITM-C5186/2020']"
Antwerpen,10,"['Belgium/rega-10081220/2020', 'Belgium/rega-10191123/2020']"
Antwerpen,11,['Belgium/rega-11031209/2020']
Antwerpen,12,['Belgium/6141/2020']
Belgium,03,['cat/Belgium/BE-MG-0320/2020']
Belgium,04,['Belgium/un-EMC-1/2020']
Belgium,05,"['Belgium/ITM_C2181/2020', 'Belgium/ITM_C2185/2020']"
Belgium,06,['Belgium/ITM_C2184_2/2020']
Belgium,08,['Belgium/un-EMC-5/2020']
Belgium,09,['Belgium/un-EMC-6/2020/2020']
Belgium,11,['Belgium/un-EMC-7/2020']
Belgium,12,"['Belgium/rega-1871/2020', 'Belgium/rega-1873/2020']"
BrabantWallon,01,['Belgium/rega-1675/2021']
BrabantWallon,03,"['Belgium/BEG-0323154/2020', 'Belgium/FMC-0323159/2020', 'Belgium/rega-0330875/2020']"
BrabantWallon,04,"['Belgium/SA-0409296/2020', 'Belgium/rega-0406856/2020', 'Belgium/rega-0409435/2020', 'Belgium/rega-0411441/2020', 'Belgium/rega-0411470/2020']"
BrabantWallon,05,['Belgium/ULG-10198/2020']
BrabantWallon,06,['Belgium/rega-0628823/2020']
BrabantWallon,07,['Belgium/ULG-10281/2020']
BrabantWallon,09,['Belgium/rega-0913942/2020']
BrabantWallon,10,['Belgium/rega-10181077/2020']
BrabantWallon,11,['Belgium/ULG-10907/2020']
BrabantWallon,12,['Belgium/MBLG05341/2020']
Brugge,01,['Belgium/AZDelta2103-25427/2021']
Brugge,11,['Belgium/rega-1654/2020']
Brugge,12,['Belgium/rega-1636/2020']
Brussels,01,['Belgium/MBLG29233/2021']
Brussels,03,['Belgium/030959/2020']
Brussels,04,['Belgium/20A38/2020']
Brussels,05,['Belgium/ULG-10203/2020']
Brussels,06,['Belgium/ITM_C5189_200701416/2020']
Brussels,07,['Belgium/ULG-10277/2020']
Brussels,08,['Belgium/rega-0801770/2020']
Brussels,09,['Belgium/ULG-10471/2020']
Brussels,10,['Belgium/rega-10081227/2020']
Brussels,12,['Belgium/MBLG02202/2020']
Diksmuide,01,['Belgium/AZDelta2103-09026/2021']
Dinant,12,['Belgium/rega-1498/2020']
Gent,01,['Belgium/rega-1656/2021']
Hainaut,01,['Belgium/ULG-11248/2021']
Hainaut,03,"['Belgium/AF-0327321/2020', 'Belgium/LV-0324133/2020', 'Belgium/Rega-0327213/2020', 'Belgium/Rega-0329219/2020', 'Belgium/Rega-0329237/2020', 'Belgium/STM-0324170/2020', 'Belgium/rega-0320854/2020']"
Hainaut,04,"['Belgium/AA-0408412/2020', 'Belgium/PS-0408413/2020', 'Belgium/rega-0411450/2020', 'Belgium/rega-0411455/2020']"
Hainaut,05,['Belgium/VAM-0506416/2020']
Hainaut,07,['Belgium/ULG-10286/2020']
Hainaut,08,['Belgium/ULG-10618/2020']
Hainaut,09,['Belgium/ULG-10496/2020']
Hainaut,10,['Belgium/rega-10191275/2020']
Hainaut,11,['Belgium/ULG-10808/2020']
Hainaut,12,['Belgium/ULG-11166/2020']
Halle-Vilvoorde,01,['Belgium/rega-1614/2021']
Halle-Vilvoorde,03,['Belgium/Rega-0328206/2020']
Halle-Vilvoorde,10,['Belgium/rega-1487/2020']
Halle-Vilvoorde,12,['Belgium/rega-1646/2020']
Hasselt,01,['Belgium/rega-1793/2021']
Kortrijk,01,['Belgium/AZDelta2103-07816/2021']
Leuven,01,['Belgium/rega-1655/2021']
Leuven,12,['Belgium/rega-1531/2020']
Limburg,01,['Belgium/55-2101-00608/2021']
Limburg,03,['Belgium/AM-0328342/2020']
Limburg,04,['Belgium/BT-0407271/2020']
Limburg,05,['Belgium/rega-0502482/2020']
Limburg,06,['Belgium/rega-0611706/2020']
Limburg,07,['Belgium/ULG-10279/2020']
Limburg,08,['Belgium/rega-0801927/2020']
Limburg,09,['Belgium/rega-0912943/2020']
Limburg,10,['Belgium/42477217/2020']
Limburg,11,"['Belgium/rega-11271168/2020', 'Belgium/rega-11271169/2020', 'Belgium/rega-11271171/2020', 'Belgium/rega-11271172/2020', 'Belgium/rega-11271173/2020', 'Belgium/rega-11271174/2020', 'Belgium/rega-11271176/2020', 'Belgium/rega-11271177/2020', 'Belgium/rega-11271178/2020', 'Belgium/rega-11271179/2020', 'Belgium/rega-11271180/2020', 'Belgium/rega-11271182/2020']"
Limburg,12,['Belgium/rega-12141427/2020']
Limburg (NL),08,['Belgium/rega-0803756/2020']
Liège,01,['Belgium/ULG-11151/2021']
Liège,03,"['Belgium/AC-030982/2020', 'Belgium/MJP-0306100/2020', 'Belgium/ULG-10214/2020', 'Belgium/ULG-6743/2020']"
Liège,04,['Belgium/ULG-10049/2020']
Liège,05,"['Belgium/ULG-10170/2020', 'Belgium/ULG-10174/2020', 'Belgium/ULG-10179/2020', 'Belgium/ULG-10180/2020']"
Liège,06,"['Belgium/ULG-10210/2020', 'Belgium/ULG-10246/2020', 'Belgium/ULG-10247/2020']"
Liège,07,"['Belgium/ULG-10243/2020', 'Belgium/ULG-10244/2020', 'Belgium/ULG-10245/2020', 'Belgium/ULG-10248/2020', 'Belgium/ULG-10255/2020']"
Liège,08,['Belgium/ULG-10340/2020']
Liège,09,['Belgium/ULG-10412/2020']
Liège,10,['Belgium/ULG-10506/2020']
Liège,11,['Belgium/ULG-10768/2020']
Liège,12,['Belgium/ULG-11045/2020']
Luxembourg,01,['Belgium/ULG-11254/2021']
Luxembourg,05,['Belgium/ULG-10173/2020']
Luxembourg,08,['Belgium/ULG-10434/2020']
Luxembourg,09,['Belgium/ULG-10730/2020']
Luxembourg,10,"['Belgium/ULG-10553/2020', 'Belgium/ULG-10573/2020']"
Luxembourg,11,['Belgium/ULG-10869/2020']
Luxembourg,12,['Belgium/ULG-11085/2020']
Maaseik,01,['Belgium/rega-1782/2021']
Mechelen,01,"['Belgium/rega-1765/2021', 'Belgium/rega-1787/2021']"
Mechelen,12,['Belgium/rega-1492/2020']
Namur,01,['Belgium/rega-1683/2021']
Namur,03,['Belgium/BA-0330335/2020']
Namur,04,['Belgium/LA-0403382/2020']
Namur,05,['Belgium/ULG-10193/2020']
Namur,07,['Belgium/ULG-10292/2020']
Namur,08,['Belgium/ULG-10602/2020']
Namur,09,['Belgium/ULG-10484/2020']
Namur,10,['Belgium/ULG-10692/2020']
Namur,11,['Belgium/ULG-10902/2020']
Namur,12,['Belgium/ULG-11059/2020']
Nivelles,01,['Belgium/rega-1629/2021']
OostVlaanderen,01,['Belgium/UGent-1007/2021']
OostVlaanderen,03,['Belgium/BC-03016/2020']
OostVlaanderen,04,['Belgium/FM-0408414/2020']
OostVlaanderen,05,['Belgium/UGent-121/2020']
OostVlaanderen,06,['Belgium/UGent-122/2020']
OostVlaanderen,07,['Belgium/UGent-149/2020']
OostVlaanderen,08,['Belgium/UGent-147/2020']
OostVlaanderen,09,['Belgium/UGent-161/2020']
OostVlaanderen,10,['Belgium/UGent-164/2020']
OostVlaanderen,11,"['Belgium/UGent-222/2020', 'Belgium/UGent-230/2020', 'Belgium/UGent-240/2020', 'Belgium/UGent-242/2020', 'Belgium/UGent-246/2020', 'Belgium/UGent-248/2020', 'Belgium/UGent-249/2020', 'Belgium/UGent-276/2020', 'Belgium/UGent-287/2020', 'Belgium/UGent-288/2020', 'Belgium/UGent-291/2020', 'Belgium/UGent-292/2020']"
OostVlaanderen,12,"['Belgium/UGent-297/2020', 'Belgium/UGent-317/2020', 'Belgium/UGent-318/2020', 'Belgium/UGent-330/2020']"
Roeselaere,01,['Belgium/rega-1160/2021']
Tongeren,01,['Belgium/rega-1923/2021']
Turnhout,01,['Belgium/rega-1760/2021']
VlaamsBrabant,01,"['Belgium/rega-1559/2021', 'Belgium/rega-1599/2021']"
VlaamsBrabant,02,['Belgium/BA-02291/2020']
VlaamsBrabant,03,['Belgium/AKM-030670/2020']
VlaamsBrabant,04,['Belgium/DJ-0409407/2020']
VlaamsBrabant,05,['Belgium/rega-0501632/2020']
VlaamsBrabant,06,['Belgium/rega-0602697/2020']
VlaamsBrabant,07,['Belgium/rega-0702806/2020']
VlaamsBrabant,08,['Belgium/rega-0801767/2020']
VlaamsBrabant,09,"['Belgium/rega-0801928/2020', 'Belgium/rega-0915952/2020']"
VlaamsBrabant,10,['Belgium/rega-10021219/2020']
VlaamsBrabant,11,['Belgium/rega-1484/2020']
VlaamsBrabant,12,['Belgium/rega-1510/2020']
WestVlaanderen,01,"['Belgium/AZDelta/2021', 'Belgium/AZDelta2103-11852/2021', 'Belgium/AZDelta2103-11853/2021', 'Belgium/AZDelta2103-25558/2021', 'Belgium/AZDelta210305154_S10/2021']"
WestVlaanderen,03,"['Belgium/BDW-030694/2020', 'Belgium/JK-0305110/2020']"
WestVlaanderen,04,['Belgium/HHC-0401376/2020']
WestVlaanderen,06,['Belgium/rega-0616834/2020']
WestVlaanderen,08,['Belgium/rega-0801800/2020']
WestVlaanderen,10,['Belgium/UGent-165/2020']
WestVlaanderen,11,['Belgium/UGent-224/2020']
WestVlaanderen,12,['Belgium/UGent-314/2020']
