Sint-Joost-ten-Noode,Sint-Joost-ten-Node
Maplaigne,Laplaigne
Leers - France,Leers
Steekokkerzeel,Steenokkerzeel
Eghezee,Éghezée
Deuurne,Deurne
Overijze,Overijse
s Gravenwezel,'s-Gravenwezel
La hulpe,La Hulpe
Braine-l'Alleud,Braine l'Alleud
Mont-saint-guibert,Mont-Saint-Guibert
Bruussel,Brussels
Havre,Havré
houthalen-Helchteren,Houthalen-Helchteren
Landen BE,Landen
Erpe-mere,Erpe-Mere
Bernieres-Le-Patry,Bernieres-le-Patry
Tessenderloo,Tessenderlo
Crespispin,Crespin
Mouuscron,Mouscron
Sint-jans-molenbeek,Sint-Jans-Molenbeek
Court-saint-etienne,Court-Saint-Étienne
